	Name	Name2	Location	N2	Lat	Lon
68	Elgin & Smith	Elgin & Smith	614 Elgin Street	Midtown	29.74366	-95.38025
69	Ensemble/HCC METRORail	Ensemble/HCC METRORail	3512 Main Street	Midtown	29.73959	-95.37849
70	HCC Central	HCC Central	1300 Holman St.	Midtown	29.73816	-95.37711
71	Midtown Park	Midtown Park	2811 Travis St	Midtown	29.74391	-95.37554
72	Milam & Webster	Milam & Webster	2215 Milam St.	Midtown	29.74876	-95.37412
73	West Gray & Baldwin	West Gray & Baldwin	2089 Baldwin St.	Midtown	29.7524	-95.37765
74	Peggy Park	Peggy Park	"4101 Almeda Rd. Houston, TX 77004"	Midtown	29.73223	-95.3754
75	La Branch & Alabama	La Branch & Alabama	"1502 Alabama St. Houston, TX 77004"	Midtown	29.735107	-95.375796
76	The Ion	The Ion	"4201 Main St. Houston, TX 77002"	Midtown	29.73466	-95.38196
77	Eleanor Tinsley Park	Eleanor Tinsley Park	18-3600 Allen Pkwy	Montrose	29.7614	-95.38063
78	Lost Lake	Lost Lake	3450 D'Amico Street	Montrose	29.75921	-95.40201
79	Sabine Bridge	Sabine Bridge	190 Sabine St	Montrose	29.76184	-95.37548
80	Fonde Recreation Center	Fonde Recreation Center	110 Sabine St	Montrose	29.76336111	-95.37546667
81	Dunlavy & Westheimer	Dunlavy & Westheimer	1706 Westheimer Rd	Montrose	29.7428	-95.4023
82	Freed Library	Freed Library	4100 Montrose	Montrose	29.73554	-95.39124
83	Menil Collection/Alabama & Mulberry	Menil Collection/Alabama & Mulberry	1529 W. Alabama St.	Montrose	29.73864	-95.39767
84	Taft & Fairview	Taft & Fairview	2401 Taft St.	Montrose	29.74837	-95.38563
85	Westheimer & Waugh	Westheimer & Waugh	1111 Westheimer	Montrose	29.74483	-95.39273
86	Spotts Park	Spotts Park	3683 Willia St.	Montrose	29.76612	-95.39681
87	Regent Square	Regent Square	"3515 W. Dallas St. Houston, TX 77019"	Montrose	29.75592	-95.402471
88	Health Museum	Health Museum	1515 Hermann Drive	Museum District	29.72151	-95.38606
89	Main & Wichita	Main & Wichita St	4912 Main St	Museum District	29.72985	-95.38656
90	Museum District METRORail MFAH Fannin & Binz	Museum District METRORail MFAH Fannin & Binz	5623 Fannin St.	Museum District	29.72497	-95.38913
91	The Southmore	The Southmore	5280 Caroline St	Museum District	29.72687	-95.38608
92	Leonel Castillo Comm Center	Leonel Castillo Community Center/South & Henry	2109 South St.	Near Northside	29.77818	-95.36673
